example_id,source_id,source_role,condition,split,profile_index,technical_label,logp_A,logp_B,technical_margin
resnet:irrelevant_practitioner:train:2:A,resnet,cv,irrelevant_practitioner,train,2,A,-0.0011701886542141438,-6.7511701583862305,6.749999969732016
resnet:irrelevant_practitioner:train:2:B,resnet,cv,irrelevant_practitioner,train,2,B,-0.018149960786104202,-4.0181498527526855,-3.9999998919665813
resnet:irrelevant_practitioner:train:3:A,resnet,cv,irrelevant_practitioner,train,3,A,-0.0031777145341038704,-5.753177642822266,5.749999928288162
resnet:irrelevant_practitioner:train:3:B,resnet,cv,irrelevant_practitioner,train,3,B,-0.3132617473602295,-1.3132617473602295,-1.0
resnet:irrelevant_practitioner:validation:4:A,resnet,cv,irrelevant_practitioner,validation,4,A,-0.0009114163694903255,-7.000911235809326,6.999999819439836
resnet:irrelevant_practitioner:validation:4:B,resnet,cv,irrelevant_practitioner,validation,4,B,-0.04858732968568802,-3.0485873222351074,-2.9999999925494194
resnet:irrelevant_practitioner:validation:5:A,resnet,cv,irrelevant_practitioner,validation,5,A,-0.0011701886542141438,-6.7511701583862305,6.749999969732016
resnet:irrelevant_practitioner:validation:5:B,resnet,cv,irrelevant_practitioner,validation,5,B,-0.2014133334159851,-1.7014133930206299,-1.5000000596046448
resnet:irrelevant_practitioner:test:6:A,resnet,cv,irrelevant_practitioner,test,6,A,-0.0009114163694903255,-7.000911235809326,6.999999819439836
resnet:irrelevant_practitioner:test:6:B,resnet,cv,irrelevant_practitioner,test,6,B,-0.0031777145341038704,-5.753177642822266,-5.749999928288162
resnet:irrelevant_practitioner:test:7:A,resnet,cv,irrelevant_practitioner,test,7,A,-0.029750416055321693,-3.529750347137451,3.4999999310821295
resnet:irrelevant_practitioner:test:7:B,resnet,cv,irrelevant_practitioner,test,7,B,-0.0004306104383431375,-7.750430583953857,-7.749999973515514
resnet:irrelevant_practitioner:test:8:A,resnet,cv,irrelevant_practitioner,test,8,A,-0.01416344940662384,-4.264163494110107,4.250000044703484
resnet:irrelevant_practitioner:test:8:B,resnet,cv,irrelevant_practitioner,test,8,B,-0.6931471824645996,-0.6931471824645996,0.0
transformer:relevant_researcher:train:0:A,transformer,sequence,relevant_researcher,train,0,A,-5.829164365422912e-05,-9.7500581741333,9.749999882489647
transformer:relevant_researcher:train:0:B,transformer,sequence,relevant_researcher,train,0,B,-9.7500581741333,-5.829164365422912e-05,9.749999882489647
transformer:relevant_researcher:train:1:A,transformer,sequence,relevant_researcher,train,1,A,-7.486063259420916e-05,-9.50007438659668,9.499999525964085
transformer:relevant_researcher:train:1:B,transformer,sequence,relevant_researcher,train,1,B,-11.000016212463379,-1.6689160474925302e-05,10.999999523302904
transformer:relevant_researcher:train:2:A,transformer,sequence,relevant_researcher,train,2,A,-0.0015023384476080537,-6.501502513885498,6.50000017543789
transformer:relevant_researcher:train:2:B,transformer,sequence,relevant_researcher,train,2,B,-5.753177642822266,-0.0031777145341038704,5.749999928288162
transformer:relevant_researcher:train:3:A,transformer,sequence,relevant_researcher,train,3,A,-0.0004306104383431375,-7.750430583953857,7.749999973515514
transformer:relevant_researcher:train:3:B,transformer,sequence,relevant_researcher,train,3,B,-12.000005722045898,-6.198863957251888e-06,11.999999523181941
transformer:relevant_researcher:validation:4:A,transformer,sequence,relevant_researcher,validation,4,A,-4.541770613286644e-05,-10.000045776367188,10.000000358661055
transformer:relevant_researcher:validation:4:B,transformer,sequence,relevant_researcher,validation,4,B,-10.250035285949707,-3.540453326422721e-05,10.249999881416443
transformer:relevant_researcher:validation:5:A,transformer,sequence,relevant_researcher,validation,5,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
transformer:relevant_researcher:validation:5:B,transformer,sequence,relevant_researcher,validation,5,B,-10.500027656555176,-2.753696753643453e-05,10.50000011958764
transformer:relevant_researcher:test:6:A,transformer,sequence,relevant_researcher,test,6,A,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
transformer:relevant_researcher:test:6:B,transformer,sequence,relevant_researcher,test,6,B,-7.000911235809326,-0.0009114163694903255,6.999999819439836
transformer:relevant_researcher:test:7:A,transformer,sequence,relevant_researcher,test,7,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
transformer:relevant_researcher:test:7:B,transformer,sequence,relevant_researcher,test,7,B,-9.000123023986816,-0.00012337400403339416,8.999999649982783
transformer:relevant_researcher:test:8:A,transformer,sequence,relevant_researcher,test,8,A,-0.00033539868309162557,-8.000335693359375,8.000000294676283
transformer:relevant_researcher:test:8:B,transformer,sequence,relevant_researcher,test,8,B,-2.1269280910491943,-0.12692804634571075,2.0000000447034836
transformer:irrelevant_researcher:train:0:A,transformer,sequence,irrelevant_researcher,train,0,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
transformer:irrelevant_researcher:train:0:B,transformer,sequence,irrelevant_researcher,train,0,B,-9.250096321105957,-9.60780744208023e-05,9.250000243031536
transformer:irrelevant_researcher:train:1:A,transformer,sequence,irrelevant_researcher,train,1,A,-7.486063259420916e-05,-9.50007438659668,9.499999525964085
transformer:irrelevant_researcher:train:1:B,transformer,sequence,irrelevant_researcher,train,1,B,-11.25001335144043,-1.2993727978027891e-05,11.250000357712452
transformer:irrelevant_researcher:train:2:A,transformer,sequence,irrelevant_researcher,train,2,A,-0.1602240949869156,-1.9102240800857544,1.7499999850988388
transformer:irrelevant_researcher:train:2:B,transformer,sequence,irrelevant_researcher,train,2,B,-1.3132617473602295,-0.3132617473602295,1.0
transformer:irrelevant_researcher:train:3:A,transformer,sequence,irrelevant_researcher,train,3,A,-0.0031777145341038704,-5.753177642822266,5.749999928288162
transformer:irrelevant_researcher:train:3:B,transformer,sequence,irrelevant_researcher,train,3,B,-9.250096321105957,-9.60780744208023e-05,9.250000243031536
transformer:irrelevant_researcher:validation:4:A,transformer,sequence,irrelevant_researcher,validation,4,A,-0.0015023384476080537,-6.501502513885498,6.50000017543789
transformer:irrelevant_researcher:validation:4:B,transformer,sequence,irrelevant_researcher,validation,4,B,-5.006715297698975,-0.006715348921716213,4.999999948777258
transformer:irrelevant_researcher:validation:5:A,transformer,sequence,irrelevant_researcher,validation,5,A,-0.00026127262390218675,-8.250261306762695,8.250000034138793
transformer:irrelevant_researcher:validation:5:B,transformer,sequence,irrelevant_researcher,validation,5,B,-7.000911235809326,-0.0009114163694903255,6.999999819439836
transformer:irrelevant_researcher:test:6:A,transformer,sequence,irrelevant_researcher,test,6,A,-0.0015023384476080537,-6.501502513885498,6.50000017543789
transformer:irrelevant_researcher:test:6:B,transformer,sequence,irrelevant_researcher,test,6,B,-3.529750347137451,-0.029750416055321693,3.4999999310821295
transformer:irrelevant_researcher:test:7:A,transformer,sequence,irrelevant_researcher,test,7,A,-0.0007098776986822486,-7.2507100105285645,7.250000132829882
transformer:irrelevant_researcher:test:7:B,transformer,sequence,irrelevant_researcher,test,7,B,-0.04858732968568802,-3.0485873222351074,-2.9999999925494194
transformer:irrelevant_researcher:test:8:A,transformer,sequence,irrelevant_researcher,test,8,A,-0.0019286142196506262,-6.251928806304932,6.250000192085281
transformer:irrelevant_researcher:test:8:B,transformer,sequence,irrelevant_researcher,test,8,B,-5.006715297698975,-0.006715348921716213,4.999999948777258
transformer:relevant_practitioner:train:0:A,transformer,sequence,relevant_practitioner,train,0,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
transformer:relevant_practitioner:train:0:B,transformer,sequence,relevant_practitioner,train,0,B,-9.50007438659668,-7.486063259420916e-05,9.499999525964085
transformer:relevant_practitioner:train:1:A,transformer,sequence,relevant_practitioner,train,1,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
transformer:relevant_practitioner:train:1:B,transformer,sequence,relevant_practitioner,train,1,B,-11.750007629394531,-7.867782187531702e-06,11.749999761612344
transformer:relevant_practitioner:train:2:A,transformer,sequence,relevant_practitioner,train,2,A,-0.006715348921716213,-5.006715297698975,4.999999948777258
transformer:relevant_practitioner:train:2:B,transformer,sequence,relevant_practitioner,train,2,B,-4.264163494110107,-0.01416344940662384,4.250000044703484
transformer:relevant_practitioner:train:3:A,transformer,sequence,relevant_practitioner,train,3,A,-0.0004306104383431375,-7.750430583953857,7.749999973515514
transformer:relevant_practitioner:train:3:B,transformer,sequence,relevant_practitioner,train,3,B,-4.264163494110107,-0.01416344940662384,4.250000044703484
transformer:relevant_practitioner:validation:4:A,transformer,sequence,relevant_practitioner,validation,4,A,-5.829164365422912e-05,-9.7500581741333,9.749999882489647
transformer:relevant_practitioner:validation:4:B,transformer,sequence,relevant_practitioner,validation,4,B,-11.750007629394531,-7.867782187531702e-06,11.749999761612344
transformer:relevant_practitioner:validation:5:A,transformer,sequence,relevant_practitioner,validation,5,A,-0.00026127262390218675,-8.250261306762695,8.250000034138793
transformer:relevant_practitioner:validation:5:B,transformer,sequence,relevant_practitioner,validation,5,B,-11.750007629394531,-7.867782187531702e-06,11.749999761612344
transformer:relevant_practitioner:test:6:A,transformer,sequence,relevant_practitioner,test,6,A,-5.829164365422912e-05,-9.7500581741333,9.749999882489647
transformer:relevant_practitioner:test:6:B,transformer,sequence,relevant_practitioner,test,6,B,-6.7511701583862305,-0.0011701886542141438,6.749999969732016
transformer:relevant_practitioner:test:7:A,transformer,sequence,relevant_practitioner,test,7,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
transformer:relevant_practitioner:test:7:B,transformer,sequence,relevant_practitioner,test,7,B,-7.500553131103516,-0.0005529781919904053,7.500000152911525
transformer:relevant_practitioner:test:8:A,transformer,sequence,relevant_practitioner,test,8,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
transformer:relevant_practitioner:test:8:B,transformer,sequence,relevant_practitioner,test,8,B,-6.501502513885498,-0.0015023384476080537,6.50000017543789
transformer:irrelevant_practitioner:train:0:A,transformer,sequence,irrelevant_practitioner,train,0,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
transformer:irrelevant_practitioner:train:0:B,transformer,sequence,irrelevant_practitioner,train,0,B,-8.500203132629395,-0.00020346954988781363,8.499999663079507
transformer:irrelevant_practitioner:train:1:A,transformer,sequence,irrelevant_practitioner,train,1,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
transformer:irrelevant_practitioner:train:1:B,transformer,sequence,irrelevant_practitioner,train,1,B,-13.000001907348633,-2.264974000354414e-06,12.999999642374632
transformer:irrelevant_practitioner:train:2:A,transformer,sequence,irrelevant_practitioner,train,2,A,-0.6931471824645996,-0.6931471824645996,0.0
transformer:irrelevant_practitioner:train:2:B,transformer,sequence,irrelevant_practitioner,train,2,B,-2.578889846801758,-0.07888974994421005,2.5000000968575478
transformer:irrelevant_practitioner:train:3:A,transformer,sequence,irrelevant_practitioner,train,3,A,-0.0005529781919904053,-7.500553131103516,7.500000152911525
transformer:irrelevant_practitioner:train:3:B,transformer,sequence,irrelevant_practitioner,train,3,B,-4.758614540100098,-0.008614521473646164,4.7500000186264515
transformer:irrelevant_practitioner:validation:4:A,transformer,sequence,irrelevant_practitioner,validation,4,A,-0.0011701886542141438,-6.7511701583862305,6.749999969732016
transformer:irrelevant_practitioner:validation:4:B,transformer,sequence,irrelevant_practitioner,validation,4,B,-1.3132617473602295,-0.3132617473602295,1.0
transformer:irrelevant_practitioner:validation:5:A,transformer,sequence,irrelevant_practitioner,validation,5,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
transformer:irrelevant_practitioner:validation:5:B,transformer,sequence,irrelevant_practitioner,validation,5,B,-5.753177642822266,-0.0031777145341038704,5.749999928288162
transformer:irrelevant_practitioner:test:6:A,transformer,sequence,irrelevant_practitioner,test,6,A,-0.0031777145341038704,-5.753177642822266,5.749999928288162
transformer:irrelevant_practitioner:test:6:B,transformer,sequence,irrelevant_practitioner,test,6,B,-0.011047743260860443,-4.511047840118408,-4.500000096857548
transformer:irrelevant_practitioner:test:7:A,transformer,sequence,irrelevant_practitioner,test,7,A,-0.004078404977917671,-5.504078388214111,5.499999983236194
transformer:irrelevant_practitioner:test:7:B,transformer,sequence,irrelevant_practitioner,test,7,B,-0.07888974994421005,-2.578889846801758,-2.5000000968575478
transformer:irrelevant_practitioner:test:8:A,transformer,sequence,irrelevant_practitioner,test,8,A,-0.0009114163694903255,-7.000911235809326,6.999999819439836
transformer:irrelevant_practitioner:test:8:B,transformer,sequence,irrelevant_practitioner,test,8,B,-6.501502513885498,-0.0015023384476080537,6.50000017543789
unet:relevant_researcher:train:0:A,unet,biomedical_cv,relevant_researcher,train,0,A,-1.0728830375228426e-06,-13.750000953674316,13.749999880791279
unet:relevant_researcher:train:0:B,unet,biomedical_cv,relevant_researcher,train,0,B,-5.006715297698975,-0.006715348921716213,4.999999948777258
unet:relevant_researcher:train:1:A,unet,biomedical_cv,relevant_researcher,train,1,A,-3.6954811548639555e-06,-12.500003814697266,12.50000011921611
unet:relevant_researcher:train:1:B,unet,biomedical_cv,relevant_researcher,train,1,B,-8.750158309936523,-0.00015841660206206143,8.749999893334461
unet:relevant_researcher:train:2:A,unet,biomedical_cv,relevant_researcher,train,2,A,-1.0728830375228426e-06,-13.750000953674316,13.749999880791279
unet:relevant_researcher:train:2:B,unet,biomedical_cv,relevant_researcher,train,2,B,-6.002475738525391,-0.0024756519123911858,6.000000086612999
unet:relevant_researcher:train:3:A,unet,biomedical_cv,relevant_researcher,train,3,A,-4.768360213347478e-06,-12.250004768371582,12.250000000011369
unet:relevant_researcher:train:3:B,unet,biomedical_cv,relevant_researcher,train,3,B,-9.7500581741333,-5.829164365422912e-05,9.749999882489647
unet:relevant_researcher:validation:4:A,unet,biomedical_cv,relevant_researcher,validation,4,A,-1.7881377516459906e-06,-13.250001907348633,13.250000119210881
unet:relevant_researcher:validation:4:B,unet,biomedical_cv,relevant_researcher,validation,4,B,-7.500553131103516,-0.0005529781919904053,7.500000152911525
unet:relevant_researcher:validation:5:A,unet,biomedical_cv,relevant_researcher,validation,5,A,-3.6954811548639555e-06,-12.500003814697266,12.50000011921611
unet:relevant_researcher:validation:5:B,unet,biomedical_cv,relevant_researcher,validation,5,B,-11.750007629394531,-7.867782187531702e-06,11.749999761612344
unet:relevant_researcher:test:6:A,unet,biomedical_cv,relevant_researcher,test,6,A,-4.768360213347478e-06,-12.250004768371582,12.250000000011369
unet:relevant_researcher:test:6:B,unet,biomedical_cv,relevant_researcher,test,6,B,-8.750158309936523,-0.00015841660206206143,8.749999893334461
unet:relevant_researcher:test:7:A,unet,biomedical_cv,relevant_researcher,test,7,A,-4.768360213347478e-06,-12.250004768371582,12.250000000011369
unet:relevant_researcher:test:7:B,unet,biomedical_cv,relevant_researcher,test,7,B,-0.03804141283035278,-3.288041353225708,-3.2499999403953552
unet:relevant_researcher:test:8:A,unet,biomedical_cv,relevant_researcher,test,8,A,-7.867782187531702e-06,-11.750007629394531,11.749999761612344
unet:relevant_researcher:test:8:B,unet,biomedical_cv,relevant_researcher,test,8,B,-2.811967611312866,-0.06196761503815651,2.7499999962747097
unet:irrelevant_researcher:train:0:A,unet,biomedical_cv,irrelevant_researcher,train,0,A,-1.4305104514278355e-06,-13.500000953674316,13.499999523163865
unet:irrelevant_researcher:train:0:B,unet,biomedical_cv,irrelevant_researcher,train,0,B,-4.264163494110107,-0.01416344940662384,4.250000044703484
unet:irrelevant_researcher:train:1:A,unet,biomedical_cv,irrelevant_researcher,train,1,A,-3.6954811548639555e-06,-12.500003814697266,12.50000011921611
unet:irrelevant_researcher:train:1:B,unet,biomedical_cv,irrelevant_researcher,train,1,B,-8.750158309936523,-0.00015841660206206143,8.749999893334461
unet:irrelevant_researcher:train:2:A,unet,biomedical_cv,irrelevant_researcher,train,2,A,-1.4305104514278355e-06,-13.500000953674316,13.499999523163865
unet:irrelevant_researcher:train:2:B,unet,biomedical_cv,irrelevant_researcher,train,2,B,-0.1602240949869156,-1.9102240800857544,-1.7499999850988388
unet:irrelevant_researcher:train:3:A,unet,biomedical_cv,irrelevant_researcher,train,3,A,-1.6689160474925302e-05,-11.000016212463379,10.999999523302904
unet:irrelevant_researcher:train:3:B,unet,biomedical_cv,irrelevant_researcher,train,3,B,-4.511047840118408,-0.011047743260860443,4.500000096857548
unet:irrelevant_researcher:validation:4:A,unet,biomedical_cv,irrelevant_researcher,validation,4,A,-1.6689160474925302e-05,-11.000016212463379,10.999999523302904
unet:irrelevant_researcher:validation:4:B,unet,biomedical_cv,irrelevant_researcher,validation,4,B,-2.3502066135406494,-0.10020658373832703,2.2500000298023224
unet:irrelevant_researcher:validation:5:A,unet,biomedical_cv,irrelevant_researcher,validation,5,A,-1.0132738680113107e-05,-11.50001049041748,11.5000003576788
unet:irrelevant_researcher:validation:5:B,unet,biomedical_cv,irrelevant_researcher,validation,5,B,-2.578889846801758,-0.07888974994421005,2.5000000968575478
unet:irrelevant_researcher:test:6:A,unet,biomedical_cv,irrelevant_researcher,test,6,A,-1.0132738680113107e-05,-11.50001049041748,11.5000003576788
unet:irrelevant_researcher:test:6:B,unet,biomedical_cv,irrelevant_researcher,test,6,B,-0.4740769863128662,-0.9740769863128662,-0.5
unet:irrelevant_researcher:test:7:A,unet,biomedical_cv,irrelevant_researcher,test,7,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
unet:irrelevant_researcher:test:7:B,unet,biomedical_cv,irrelevant_researcher,test,7,B,-0.00033539868309162557,-8.000335693359375,-8.000000294676283
unet:irrelevant_researcher:test:8:A,unet,biomedical_cv,irrelevant_researcher,test,8,A,-1.0132738680113107e-05,-11.50001049041748,11.5000003576788
unet:irrelevant_researcher:test:8:B,unet,biomedical_cv,irrelevant_researcher,test,8,B,-3.773245334625244,-0.023245446383953094,3.749999888241291
unet:relevant_practitioner:train:0:A,unet,biomedical_cv,relevant_practitioner,train,0,A,-1.4305104514278355e-06,-13.500000953674316,13.499999523163865
unet:relevant_practitioner:train:0:B,unet,biomedical_cv,relevant_practitioner,train,0,B,-4.0181498527526855,-0.018149960786104202,3.9999998919665813
unet:relevant_practitioner:train:1:A,unet,biomedical_cv,relevant_practitioner,train,1,A,-3.6954811548639555e-06,-12.500003814697266,12.50000011921611
unet:relevant_practitioner:train:1:B,unet,biomedical_cv,relevant_practitioner,train,1,B,-10.500027656555176,-2.753696753643453e-05,10.50000011958764
unet:relevant_practitioner:train:2:A,unet,biomedical_cv,relevant_practitioner,train,2,A,-4.768370445162873e-07,-14.5,14.499999523162955
unet:relevant_practitioner:train:2:B,unet,biomedical_cv,relevant_practitioner,train,2,B,-2.811967611312866,-0.06196761503815651,2.7499999962747097
unet:relevant_practitioner:train:3:A,unet,biomedical_cv,relevant_practitioner,train,3,A,-2.861018856492592e-06,-12.75000286102295,12.750000000004093
unet:relevant_practitioner:train:3:B,unet,biomedical_cv,relevant_practitioner,train,3,B,-0.9740769863128662,-0.4740769863128662,0.5
unet:relevant_practitioner:validation:4:A,unet,biomedical_cv,relevant_practitioner,validation,4,A,-2.861018856492592e-06,-12.75000286102295,12.750000000004093
unet:relevant_practitioner:validation:4:B,unet,biomedical_cv,relevant_practitioner,validation,4,B,-7.750430583953857,-0.0004306104383431375,7.749999973515514
unet:relevant_practitioner:validation:5:A,unet,biomedical_cv,relevant_practitioner,validation,5,A,-7.867782187531702e-06,-11.750007629394531,11.749999761612344
unet:relevant_practitioner:validation:5:B,unet,biomedical_cv,relevant_practitioner,validation,5,B,-10.500027656555176,-2.753696753643453e-05,10.50000011958764
unet:relevant_practitioner:test:6:A,unet,biomedical_cv,relevant_practitioner,test,6,A,-6.198863957251888e-06,-12.000005722045898,11.999999523181941
unet:relevant_practitioner:test:6:B,unet,biomedical_cv,relevant_practitioner,test,6,B,-1.3132617473602295,-0.3132617473602295,1.0
